Make,Model,Review,ratings,Rating,date,liked_options,disliked_options,like_option,dislike_option,user_intention,mentioned_makes,mentioned_models,mentioned_years,preferred_condition,newness_preference_score,newness_preference_notes,preferred_vehicle_type,preferred_fuel_type,openness_to_alternatives,misc_notes
Ford,Transit Cargo Van,"Just bought a 2025 Transit Cargo Van and it broke down at 20 miles. It had 8 miles on it when I got it and I drove it a whole 12. It's a cheap novelty imo. It overheated, coolant was sprayed all under the hood and it had smoke pouring out of the engine. Worst decision ever.",1,1,5/21/2024,[],"[{""make"": ""Ford"", ""model"": ""Transit Cargo Van"", ""year"": 2025, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong dissatisfaction with the 2025 Transit Cargo Van, indicating it broke down shortly after purchase.""}]",[],"[{""make"": ""Ford"", ""model"": ""Transit Cargo Van"", ""year"": 2025, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong dissatisfaction with the 2025 Transit Cargo Van, indicating it broke down shortly after purchase.""}]",The reviewer likely seeks to warn others about the poor reliability of the 2025 Ford Transit Cargo Van and may be looking for alternatives that are more dependable.,"[""Ford""]","[""Transit Cargo Van""]",[2025],new,1,"The reviewer had a negative experience with a new vehicle, indicating a strong preference against new vehicles.",,,1,"The review highlights significant reliability issues, suggesting the reviewer prioritizes dependable vehicles."
Toyota,Corolla,"Just bought a 2025 Corolla and it broke down at 20 miles. It had 8 miles on it when I got it and I drove it a whole 12. It's a cheap novelty imo. It overheated, coolant was sprayed all under the hood, and it had smoke pouring out of the engine. Worst decision ever.",1,1,5/21/2024,[],"[{""make"": ""Toyota"", ""model"": ""Corolla"", ""year"": 2025, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong dissatisfaction with the 2025 Corolla, indicating it broke down shortly after purchase.""}]",[],"[{""make"": ""Toyota"", ""model"": ""Corolla"", ""year"": 2025, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong dissatisfaction with the 2025 Corolla, indicating it broke down shortly after purchase.""}]",The reviewer likely seeks to warn others about the poor reliability of the 2025 Toyota Corolla and may be looking for alternatives that are more dependable.,"[""Toyota""]","[""Corolla""]",[2025],unspecified,1,"The reviewer had a negative experience with a new vehicle, suggesting a strong aversion to new cars.",,,1,"The review highlights significant reliability issues, indicating that the reviewer prioritizes dependable vehicles."
Chevrolet,Equinox,"Just bought a 2025 Equinox and it broke down at 20 miles. It had 8 miles on it when I got it and I drove it a whole 12. It's a cheap novelty imo. It overheated, coolant was sprayed all under the hood and it had smoke pouring out of the engine. Worst decision ever.",1,1,5/21/2024,[],"[{""make"": ""Chevrolet"", ""model"": ""Equinox"", ""year"": 2025, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong dissatisfaction with the 2025 Equinox, indicating it broke down shortly after purchase.""}]",[],"[{""make"": ""Chevrolet"", ""model"": ""Equinox"", ""year"": 2025, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong dissatisfaction with the 2025 Equinox, indicating it broke down shortly after purchase.""}]",The reviewer likely seeks to warn others about the poor reliability of the Chevrolet Equinox and may be looking for alternatives that are more dependable.,"[""Chevrolet""]","[""Equinox""]",[2025],unspecified,1,"The reviewer had a negative experience with a new vehicle, suggesting a preference against new cars.",SUV,,1,The reviewer prioritizes reliability and expresses frustration with the vehicle's performance.
BMW,M2,"Just bought a 2025 BMW M2 and it broke down at 20 miles. It had 8 miles on it when I got it and I drove it a whole 12. It's a cheap novelty imo. It overheated, coolant was sprayed all under the hood, and it had smoke pouring out of the engine. Worst decision ever.",1,1,5/21/2024,[],"[{""make"": ""BMW"", ""model"": ""M2"", ""year"": 2025, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong dissatisfaction with the 2025 BMW M2, stating it broke down shortly after purchase.""}]",[],"[{""make"": ""BMW"", ""model"": ""M2"", ""year"": 2025, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong dissatisfaction with the 2025 BMW M2, stating it broke down shortly after purchase.""}]",The reviewer likely seeks to warn others about the reliability issues of the BMW M2 and may be looking for alternatives that are more dependable.,"[""BMW""]","[""M2""]",[2025],new,1,"The reviewer had a negative experience with a new vehicle, indicating a strong preference against new cars.",,,1,"The reviewer emphasizes reliability concerns, indicating that they prioritize dependable vehicles."
Ford,Bronco,"Just bought a 2025 Bronco and it broke down at 20 miles. It had 8 miles on it when I got it and I drove it a whole 12. It's a cheap novelty imo. It overheated, coolant was sprayed all under the hood and it had smoke pouring out of the engine. Worst decision ever.",1,1,5/21/2024,[],"[{""make"": ""Ford"", ""model"": ""Bronco"", ""year"": 2025, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong dissatisfaction with the 2025 Ford Bronco, indicating it broke down shortly after purchase.""}]",[],"[{""make"": ""Ford"", ""model"": ""Bronco"", ""year"": 2025, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong dissatisfaction with the 2025 Ford Bronco, indicating it broke down shortly after purchase.""}]",The reviewer is likely seeking a replacement vehicle or advice on more reliable options after a disappointing experience with their current vehicle.,"[""Ford""]","[""Bronco""]",[2025],either,1,"The reviewer had a negative experience with a new vehicle, suggesting a preference for used or more reliable options.",SUV,,10,The reviewer prioritizes reliability and is likely looking for a vehicle that does not have mechanical issues.
Ford,F-350,"Waited two years on a waiting list and ended up with the F-350 Lariat with the 6.7L Power Stroke Diesel. Original order was for a Limited Edition, and when we were told the features would be delayed due to manufacturing issues, we changed to the combination above. Was completely blown away at the ride and handling versus our previous heavy-duty truck. Still love that truck, but the F-350 is so much more refined for both on and off-road use. The spaciousness of the cabin versus the other truck was a great surprise as well. Had the typical first year production gremlins that I've experienced in Asian, German, and American vehicles we were early adopters of; comes with the territory and Ford stayed in touch and took care of them as they came up. Never driven anything outside of a military HUMMV that was this confidence-inspiring off-road, towing heavy loads with ease, I mean at the turn of a dial all the towing modes did what was asked of them. Interior noise shouldn't be a surprise to anyone who's owned a heavy-duty truck. Interior materials and drain holes for rinsing out dirt and debris were great. I would love it if Ford made a solid one-piece body like the Ram. No regrets at all. *Edmunds doesn't have the Lariat with the 6.7L Diesel, but that was our combination so maybe they can fix that.",5,5,2/5/2024,"[{""make"": ""Ford"", ""model"": ""F-350"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong satisfaction with the F-350 Lariat and its features.""}]","[{""make"": ""Ford"", ""model"": ""Limited Edition"", ""year"": null, ""condition"": ""unspecified"", ""rationale"": ""The reviewer initially ordered the Limited Edition but switched to the F-350 due to delays.""}]","[{""make"": ""Ford"", ""model"": ""F-350"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong satisfaction with the F-350 Lariat and its features.""}]","[{""make"": ""Ford"", ""model"": ""Limited Edition"", ""year"": null, ""condition"": ""unspecified"", ""rationale"": ""The reviewer initially ordered the Limited Edition but switched to the F-350 due to delays.""}]","The reviewer is likely looking for recommendations for heavy-duty trucks that offer a refined ride and good towing capabilities, possibly with a focus on diesel options.","[""Ford""]","[""F-350"", ""Limited Edition""]",[],new,10,"The reviewer is very satisfied with their new F-350, indicating a preference for new vehicles.",truck,diesel,5,"The reviewer values ride quality, towing capability, and interior spaciousness."
Jeep,Grand Cherokee L,"Waited two years on a waiting list and ended up with the Grand Cherokee L with the 5.7L V8. Originally ordered a different trim but when we learned about some delays, we switched to this combination. I was completely blown away by the ride and handling compared to our previous SUV. Still love our old vehicle, but the Grand Cherokee L is so much more refined for both on and off-road use. The spaciousness of the interior and the comfort of the seating was a great surprise as well. Had the typical first year production gremlins that I've experienced in various vehicles we've owned; comes with the territory, but Jeep stayed in touch and took care of them as they arose. I've never driven anything outside of a military HUMMV that was this confidence-inspiring off-road, in the water, or while towing; the various terrain modes did exactly what was needed with just a turn of a dial. Interior noise shouldn't be a surprise to anyone who's owned an SUV with a panoramic roof. The interior materials and the thoughtful design for easy cleaning were impressive. I would love it if Jeep made a solid one-piece body like some luxury brands. No regrets at all.",5,5,2/5/2024,"[{""make"": ""Jeep"", ""model"": ""Grand Cherokee L"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong satisfaction with the Grand Cherokee L, praising its ride, handling, spaciousness, and comfort.""}]",[],"[{""make"": ""Jeep"", ""model"": ""Grand Cherokee L"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong satisfaction with the Grand Cherokee L, praising its ride, handling, spaciousness, and comfort.""}]",[],"The reviewer is likely looking for recommendations for vehicles that offer similar refinement and off-road capability as the Grand Cherokee L, while also considering comfort and spaciousness.","[""Jeep""]","[""Grand Cherokee L""]",[],new,10,The reviewer waited two years for a new model and expresses no regrets about their choice.,SUV,gas,5,"The reviewer values interior comfort, off-road capability, and thoughtful design."
Toyota,Highlander,"Waited two years on a waiting list and ended up with the Highlander XSE with the 3.5L V6. Originally ordered a Limited trim, but when we were informed that some features would not be available due to manufacturing issues, we switched to the combination above. Was completely blown away at the ride and handling compared to our previous SUV. Still love our old vehicle, but the Highlander is so much more refined for both on and off-road use. The spaciousness of the cabin versus our previous SUV was a great surprise as well. Had the typical first year production quirks that I've experienced in various vehicles we've owned; comes with the territory, and Toyota stayed in touch and took care of them as they came up. Never driven anything outside of a military HUMMV that was this confidence-inspiring off-road, in the water, or when launching jet skis with no boat ramp; at the turn of a dial, all the drive modes performed flawlessly. Interior noise shouldn't be a surprise to anyone who's owned an SUV with a soft top. The interior materials and drainage solutions for rinsing out sand and mud were excellent. I would love it if Toyota made a solid one-piece body like the Land Rover. No regrets at all.",5,5,2/5/2024,"[{""make"": ""Toyota"", ""model"": ""Highlander"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The reviewer expresses satisfaction with the Highlander XSE and praises its ride, handling, and spaciousness.""}]",[],"[{""make"": ""Toyota"", ""model"": ""Highlander"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The reviewer expresses satisfaction with the Highlander XSE and praises its ride, handling, and spaciousness.""}]",[],"The reviewer is likely looking for recommendations on vehicles that offer similar refinement and off-road capability as the Highlander, while also considering reliability and spaciousness.","[""Toyota""]","[""Highlander"", ""Land Rover""]",[],new,10,The reviewer is very satisfied with their new vehicle and indicates no regrets about their purchase.,SUV,gas,5,"The reviewer values refinement, off-road capability, and spaciousness in a vehicle."
Ford,Bronco,"Waited two years on a waiting list and ended up with the Outer Banks and 2.7 with Soft Top. Original Order was for a First Edition and when we were told the Top would not be molded in color due to manufacturing issues, we changed from the limited production First Edition to the combination above. Was completely blown away at the ride and handling versus our Wrangler. Still love the Wrangler, but the Bronco is so much more refined from both on and off road use. The openness of the roll cage versus the Wrangler was a great surprise as well. Had the typical first year production gremlins that I've experienced in Asian, German, and American vehicles we were early adopters of; comes with the territory and Ford stayed in touch and took care of them as they came up. Never driven anything outside of a military HUMMV that was this confidence inspiring off road, in the water, launching jet skis with no boat ramp, I mean at the turn of a dial all the off road modes did what was asked of them. Interior Noise shouldn't be a surprise to anyone who's owned a soft top Jeep. Interior material and drain holes for rinsing the sand and mud out were great. I would love it if Ford made a Solid one piece body like the Land Rover. No regrets at all. *Edmunds doesn't have Outer Banks with the 2.7 4door, but that was our combination so maybe they can fix that.",5,5,2/5/2024,"[{""make"": ""Ford"", ""model"": ""Bronco"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong satisfaction with the Ford Bronco, particularly the Outer Banks trim with the 2.7 engine.""}]","[{""make"": ""Jeep"", ""model"": ""Wrangler"", ""year"": null, ""condition"": ""either"", ""rationale"": ""While the reviewer still loves the Wrangler, they highlight that the Bronco is more refined, indicating a preference away from the Wrangler.""}]","[{""make"": ""Ford"", ""model"": ""Bronco"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong satisfaction with the Ford Bronco, particularly the Outer Banks trim with the 2.7 engine.""}]","[{""make"": ""Jeep"", ""model"": ""Wrangler"", ""year"": null, ""condition"": ""either"", ""rationale"": ""While the reviewer still loves the Wrangler, they highlight that the Bronco is more refined, indicating a preference away from the Wrangler.""}]","The reviewer is likely seeking recommendations for vehicles that offer similar or improved features compared to the Ford Bronco, particularly in off-road capabilities and refinement.","[""Ford"", ""Jeep""]","[""Bronco"", ""Wrangler""]",[],new,10,The reviewer is excited about their new Bronco and indicates no regrets about their purchase.,SUV,gas,5,"The reviewer appreciates off-road capabilities, refinement, and is open to considering alternatives that meet these criteria."
BMW,X5,"Waited two years on a waiting list and ended up with the X5 and the M Sport package. Original order was for a higher trim, but when we were told the features would be delayed due to manufacturing issues, we changed to the combination above. Was completely blown away at the ride and handling versus our previous SUV. Still love that vehicle, but the X5 is so much more refined for both on and off-road use. The spaciousness of the cabin versus our old SUV was a great surprise as well. Had the typical first-year production gremlins that I've experienced in various vehicles we were early adopters of; comes with the territory and BMW stayed in touch and took care of them as they came up. Never driven anything outside of a military vehicle that was this confidence-inspiring off-road, in the rain, and handling rough terrain with ease. I mean, at the turn of a dial, all the driving modes did what was asked of them. Interior noise shouldn't be a surprise to anyone who's owned a luxury SUV. Interior materials and the design for easy cleaning were great. I would love it if BMW made a solid one-piece body like some competitors. No regrets at all.",5,5,2/5/2024,"[{""make"": ""BMW"", ""model"": ""X5"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong satisfaction with the BMW X5, particularly praising its ride, handling, and spaciousness.""}, {""make"": ""BMW"", ""model"": ""X5"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The M Sport package is specifically mentioned as a positive feature.""}]","[{""make"": ""BMW"", ""model"": null, ""year"": null, ""condition"": ""unspecified"", ""rationale"": ""The reviewer mentions a desire for a solid one-piece body, indicating a preference against vehicles that do not have this feature.""}]","[{""make"": ""BMW"", ""model"": ""X5"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The reviewer expresses strong satisfaction with the BMW X5, particularly praising its ride, handling, and spaciousness.""}, {""make"": ""BMW"", ""model"": ""X5"", ""year"": null, ""condition"": ""new"", ""rationale"": ""The M Sport package is specifically mentioned as a positive feature.""}]","[{""make"": ""BMW"", ""model"": null, ""year"": null, ""condition"": ""unspecified"", ""rationale"": ""The reviewer mentions a desire for a solid one-piece body, indicating a preference against vehicles that do not have this feature.""}]","The reviewer is likely looking for recommendations for high-quality SUVs that offer a refined driving experience and spacious interiors, similar to their experience with the BMW X5.","[""BMW""]","[""X5""]",[],new,10,"The reviewer is very satisfied with their new BMW X5, indicating a preference for brand new vehicles.",SUV,,5,"The reviewer values ride quality, handling, and spaciousness, and has a positive view of BMW's customer service regarding production issues."
